item,item_name,file,authors,licenses,urls,notes
clothes.collared_formal_longsleeve,Collared/Formal Longsleeve,torso/clothes/longsleeve/formal,bluecarrot16; Thane Brimhall (pennomi); laetissima; Stephen Challener (Redshrike); Johannes Sjölund (wulax),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-2-characters https://opengameart.org/content/lpc-gentleman,
clothes.longsleeve,Longsleeve,torso/clothes/longsleeve/longsleeve/female,bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"original by ElizaWy, edited to v3 bases by bluecarrot16; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman"
clothes.longsleeve,Longsleeve,torso/clothes/longsleeve/longsleeve/male,JaidynReiman; Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,original by wulax; tweaks and further recolors by bluecarrot16; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman
clothes.longsleeve,Longsleeve,torso/clothes/longsleeve/longsleeve/pregnant,bluecarrot16; ElizaWy; Stephen Challener (Redshrike); Johannes Sjölund (wulax),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"original by ElizaWy, edited to pregnant v3 bases by bluecarrot16"
clothes.longsleeve,Longsleeve,torso/clothes/longsleeve/longsleeve/teen,bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax),OGA-BY 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-teen-unisex-base-clothes http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"body by Redshrike, shirt by ElizaWy derived from base, edited by bluecarrot16 to v3 bases; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman"
clothes.longsleeve_laced,Longsleeve laced,torso/clothes/longsleeve/laced,bluecarrot16; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-pirates,
clothes.longsleeve_polo,Longsleeve Polo,torso/clothes/longsleeve/longsleeve2_polo,ElizaWy; JaidynReiman; Stephen Challener (Redshrike); Johannes Sjölund (wulax),OGA-BY 3.0,http://opengameart.org/content/lpc-revised-character-basics https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,original by ElizaWy; spellcast/thrust/shoot/hurt/male adapted from original by JaidynReiman
clothes.robe,Robe,torso/clothes/robe,Luke Mehl,CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/female-mage-clothing-set,
clothes.shortsleeve,Shortsleeve,torso/clothes/shortsleeve/shortsleeve/female,bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"original by ElizaWy walkcycle only; extended to all animations by adapting from longsleeve, edited to v3 bases by bluecarrot16; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman"
clothes.shortsleeve,Shortsleeve,torso/clothes/shortsleeve/shortsleeve/male,bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles http://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"original by ElizaWy walkcycle only; extended to all animations by adapting from longsleeve, edited to v3 bases by bluecarrot16; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman"
clothes.shortsleeve,Shortsleeve,torso/clothes/shortsleeve/shortsleeve/pregnant,bluecarrot16; ElizaWy; Stephen Challener (Redshrike); Johannes Sjölund (wulax),OGA-BY 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-pregnancy-bases-maternity-wear https://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates,"body by Redshrike, t-shirt by ElizaWy derived from base; pregnant tanktop by ElizaWy; tanktop edited by bluecarrot16 to make other pregnant shirts and match v3 bases"
clothes.shortsleeve,Shortsleeve,torso/clothes/shortsleeve/shortsleeve/teen,Nyom; bluecarrot16; ElizaWy; JaidynReiman; Stephen Challener (Redshrike),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-7-womens-shirts http://opengameart.org/content/lpc-revised-character-basics http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-teen-androgynous-short-sleeve-shirt https://github.com/ElizaWy/LPC/tree/main/Characters/Clothing https://opengameart.org/content/lpc-expanded-sit-run-jump-more https://opengameart.org/content/lpc-expanded-simple-shirts,"original by ElizaWy walkcycle only; extended to all animations by adapting from longsleeve, edited to v3 bases by bluecarrot16; teen version by Nyom; cleanup and climb/jump/run/sit/emote/revised combat adapted from LPC Revised by JaidynReiman"
clothes.tunic,Tunic,torso/clothes/tunic,bluecarrot16; JaidynReiman; Matthew Krohn (makrohn); Marcel van de Steeg (MadMarcel); Stephen Challener (Redshrike); Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-female-orcogregoblintroll-base-walkcycle https://opengameart.org/content/lpc-curly-hair-elven-ears-white-cape-with-blue-trim-and-more http://opengameart.org/content/lpc-clothing-updates,"""pirate shirt"" by MadMarcel, edited to all poses by makrohn, edited from tube-top/tanktop to sleeveless then to tunic by JaidynReiman, edits for v3 bases and further cleanup by bluecarrot16"
hair.balding,Balding,hair/balding,ElizaWy,OGA-BY 3.0,https://opengameart.org/content/lpc-hair,
hair.bedhead,Bedhead,hair/bedhead,JaidynReiman; Manuel Riecke (MrBeast),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair,
hair.braid,Braid,hair/braid,Nila122; ElizaWy,OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0; GPL 2.0,https://opengameart.org/content/3-hairs-for-lpc https://opengameart.org/content/lpc-hair,
hair.curly_short,Curly short,hair/curly_short,ElizaWy,OGA-BY 3.0,https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-sit-run-jump-more,
hair.curtains,Curtains,hair/curtains,Mandi Paugh; bluecarrot16,GPL 2.0; GPL 3.0; CC-BY 3.0,https://opengameart.org/content/star-overland https://opengameart.org/content/lpc-hair,(star)
hair.long_messy,Long messy,hair/long_messy,Mandi Paugh; bluecarrot16,GPL 2.0; GPL 3.0; CC-BY 3.0,https://opengameart.org/content/puck-overland https://opengameart.org/content/lpc-hair,(puck)
hair.long_straight,Long straight,hair/long_straight,JaidynReiman; thecilekli; bluecarrot16,CC0,https://opengameart.org/content/lpc-long-straight-hair-with-12-colors https://opengameart.org/content/lpc-hair https://opengameart.org/content/lpc-expanded-hair,
hair.page,Page,hair/page,Page; Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-hair,
hair.parted,Parted,hair/parted,JaidynReiman; Joe White; Manuel Riecke (MrBeast),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24 https://opengameart.org/content/lpc-expanded-hair,down 4 and 5 added by JaidynReiman; recolors by Joe White; original by Manuel Riecke (MrBeast)
hair.ponytail,Ponytail,hair/ponytail,JaidynReiman; Manuel Riecke (MrBeast),CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-expanded-hair,
hair.short_topknot,Short Topknot,hair/extensions/ponytails/topknot_short,JaidynReiman,OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles,
hair.short_topknot,Short Topknot,hair/parted_side_bangs,JaidynReiman,OGA-BY 3.0+; CC-BY 3.0+; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-1-hairstyle-2-hair-extensions-3-previously-unofficially-released-hairstyles https://github.com/jrconway3/Universal-LPC-spritesheet/commit/46ddcf05a0e43e7aa6ffd47d350eef0eb529ac24,
hair.wavy,Wavy,hair/wavy,JaidynReiman; Nila122,OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/3-hairs-for-lpc https://opengameart.org/content/lpc-expanded-hair,
hair.xlong,Xlong,hair/xlong,JaidynReiman; Nila122,OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-xlong-hair,"Original by Nila122; cleaned up, resplit into separate layers, and added jump/run/sit/revised combat by JaidynReiman"
hat.hood,Hood,hat/cloth/hood,Johannes Sjölund (wulax); JaidynReiman,OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-hats-facial-helmets,"Brown hood by Wulax, original black/white recolors by ??, mapped to idle/run/jump/revised combat by JaidynReiman, along with additional recolors."
hat.wizard_hat_base,Wizard Hat Base,hat/magic/wizard,Michael Whitlock (bigbeargames); Tuomo Untinen (reemax); JaidynReiman,CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/lpc-items-and-game-effects https://opengameart.org/content/lpc-pointed-hats https://opengameart.org/content/lpc-expanded-hats-facial-helmets,Original Wizard Hat and Recolors by bigbeargames and reemax; split into separate layers with new recolors by JaidynReiman
legs.pants,Pants,legs/pants/male,bluecarrot16; JaidynReiman; ElizaWy; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike),OGA-BY 3.0; GPL 3.0; CC-BY-SA 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-expanded-pants,"original male pants by wulax, recolors and edits to v3 base by bluecarrot16, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised"
legs.pants,Pants,legs/pants/thin,bluecarrot16; JaidynReiman; ElizaWy; Joe White; Matthew Krohn (makrohn); Johannes Sjölund (wulax); Stephen Challener (Redshrike),OGA-BY 3.0; GPL 3.0; CC-BY-SA 3.0,https://opengameart.org/content/liberated-pixel-cup-lpc-base-assets-sprites-map-tiles https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-pants,"original male pants by wulax, edited for female by Joe White, recolors and edits to v3 base by bluecarrot16, teen legs by ElizaWy derived from base, climb/jump/run/sit/emotes/revised combat by JaidynReiman based on ElizaWy's LPC Revised"
shoes.basic_boots,Basic Boots,feet/boots/basic,JaidynReiman; bluecarrot16; Nila122,OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-socks-shoes,"original by Nila122, edited for male and v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman"
shoes.basic_boots,Basic Boots,feet/boots/basic/thin,JaidynReiman; bluecarrot16; Nila122,OGA-BY 3.0; CC-BY-SA 3.0; GPL 2.0; GPL 3.0,https://opengameart.org/content/lpc-clothes-and-hair https://opengameart.org/content/lpc-expanded-socks-shoes,"original by Nila122, edited for v3 bases by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman"
shoes.basic_shoes,Basic Shoes,feet/shoes,JaidynReiman; bluecarrot16; Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes,"original by wulax, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman"
shoes.basic_shoes,Basic Shoes,feet/shoes/basic/thin,JaidynReiman; Joe White; Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0; GPL 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites http://opengameart.org/content/lpc-clothing-updates https://opengameart.org/content/lpc-expanded-socks-shoes,"original by wulax, edited for female base by Joe White, edited for v3 base by bluecarrot16, Jump/Sit/Emote/Run/Revised Combat by JaidynReiman"
shoulders.epaulets,Epaulets,shoulders/epaulets,bluecarrot16; JaidynReiman,OGA-BY 3.0; CC-BY-SA 3.0,https://opengameart.org/content/lpc-pirates,"Original by bluecarrot16, jump/run/sit/emote/revised combat frames and female by JaidynReiman"
weapon.arming_sword,Arming Sword,weapon/sword/arming,ElizaWy; walk and down by JaidynReiman,OGA-BY 3.0,https://github.com/ElizaWy/LPC/tree/main/Characters/Props/Sword%2001%20-%20Arming%20Sword https://opengameart.org/content/lpc-expanded-sit-run-jump-more,
weapon.glowsword,Glowsword,weapon/sword/glowsword,bluecarrot16; tskaufma; Johannes Sjölund (wulax),OGA-BY 3.0; CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-glow-sword https://opengameart.org/content/lpc-extended-weapon-animations,
weapon.longsword,Longsword,weapon/sword/longsword,Johannes Sjölund (wulax); bluecarrot16,OGA-BY 3.0; CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-extended-weapon-animations,
weapon.saber,Saber,weapon/sword/saber,Daniel Eddeland (daneeklu); Johannes Sjölund (wulax); gr3yh47; bluecarrot16,CC-BY-SA 3.0,https://opengameart.org/content/lpc-medieval-fantasy-character-sprites https://opengameart.org/content/lpc-extended-weapon-animations,
